,Time1,DAU1,Time2,DAU2,Time3,DAU3,Time4,DAU4,Time5,DAU5,Time6,DAU6,Time7,DAU7,Time8,DAU8,Time9,DAU9,Time10,DAU10,Time11,DAU11,Time12,DAU12,Time13,DAU13,Time14,smbi,Time15,label
17,-5.299999999,0.001220703,-5.299999999,0.003356934,-5.299999999,0.001525879,-5.299999999,0.000610352,-5.299999999,0.002746582,-5.299999999,0.003967285,-5.299999999,0.000915527,-5.299999999,0.003662109,-5.299999999,-0.000610352,-5.299999999,0.002746582,-5.299999999,-0.000305176,-5.299999999,0.003051758,-5.299999999,0.001831055,-5.299999999,-0.00858102,-4.3,0.000114924
18,-5.2,0.000305176,-5.2,0.001831055,-5.2,0.001220703,-5.2,0.002136231,-5.2,0.001831055,-5.2,0.001525879,-5.2,-0.001220703,-5.2,0.001220703,-5.2,-0.002441406,-5.2,0.000610352,-5.2,-0.001525879,-5.2,0.002441406,-5.2,0.000610352,-5.2,0.000676777,-4.199999999,-0.00347327
19,-5.099999999,0.000305176,-5.099999999,0.002441406,-5.099999999,0.000610352,-5.099999999,-0.002746582,-5.099999999,0.001220703,-5.099999999,0.001831055,-5.099999999,-0.000305176,-5.099999999,0.002136231,-5.099999999,-0.002136231,-5.099999999,0.000915527,-5.099999999,-0.000610352,-5.099999999,0.002441406,-5.099999999,0.000610352,-5.099999999,-0.002707108,-4.099999999,0.0040862
20,-5,0.001525879,-5,0.003662109,-5,0.002136231,-5,0.000305176,-5,0.002441406,-5,0.004272461,-5,0.000305176,-5,0.003662109,-5,-0.000610352,-5,0.003356934,-5,0.000305176,-5,0.003967285,-5,0.002136231,-5,-0.002528336,-3.999999999,0.013637693
21,-4.9,0,-4.9,0.001220703,-4.9,0.000610352,-4.9,0.004272461,-4.9,0.001220703,-4.9,0.001220703,-4.9,-0.001220703,-4.9,0.001220703,-4.9,-0.003356934,-4.9,0.000915527,-4.9,-0.001525879,-4.9,0.001831055,-4.9,0,-4.9,0.005043903,-3.899999999,0.012999224
22,-4.8,0.001220703,-4.8,0.003051758,-4.8,0.001831055,-4.8,-0.000610352,-4.8,0.001831055,-4.8,0.003967285,-4.8,-0.000305176,-4.8,0.003662109,-4.8,-0.001220703,-4.8,0.001831055,-4.8,-0.000305176,-4.8,0.003662109,-4.8,0.001831055,-4.8,0.003996814,-3.799999999,0.020673618
23,-4.699999999,0.001831055,-4.699999999,0.001831055,-4.699999999,0.003051758,-4.699999999,-0.000305176,-4.699999999,0.003051758,-4.699999999,0.003662109,-4.699999999,-0.000305176,-4.699999999,0.002746582,-4.699999999,-0.001220703,-4.699999999,0.002136231,-4.699999999,0.000305176,-4.699999999,0.002746582,-4.699999999,0.001831055,-4.699999999,0.008351171,-3.699999999,0.015157248
24,-4.599999999,0.000610352,-4.599999999,0.000915527,-4.599999999,-0.000915527,-4.599999999,-0.001220703,-4.599999999,0,-4.599999999,0.001525879,-4.599999999,-0.000915527,-4.599999999,0.001525879,-4.599999999,-0.002746582,-4.599999999,0.000610352,-4.599999999,-0.001525879,-4.599999999,0.002746582,-4.599999999,0.001525879,-4.599999999,0.011083817,-3.6,0.008223478
25,-4.5,0.001525879,-4.5,0.002136231,-4.5,0.001525879,-4.5,0.000610352,-4.5,0.001220703,-4.5,0.002136231,-4.5,-0.000610352,-4.5,0.003356934,-4.5,-0.001831055,-4.5,0.001831055,-4.5,-0.001525879,-4.5,0.003051758,-4.5,0.001525879,-4.5,0.00326896,-3.5,0.003715888
26,-4.4,0.002441406,-4.4,0.004577637,-4.4,0.002441406,-4.4,0,-4.4,0.001831055,-4.4,0.003662109,-4.4,0.000305176,-4.4,0.004272461,-4.4,0,-4.4,0.002441406,-4.4,0,-4.4,0.004272461,-4.4,0.001831055,-4.4,0.000944934,-3.399999999,0.000178771
27,-4.3,0.000305176,-4.3,0.001831055,-4.3,0.000610352,-4.3,-0.000610352,-4.3,0.000915527,-4.3,0.002441406,-4.3,0,-4.3,0.003662109,-4.3,-0.003051758,-4.3,0.001220703,-4.3,-0.000610352,-4.3,0.002441406,-4.3,0,-4.3,0.000114924,-3.299999999,0.00366481
28,-4.199999999,0.000610352,-4.199999999,0.002746582,-4.199999999,0.001831055,-4.199999999,0,-4.199999999,0.000305176,-4.199999999,0.002746582,-4.199999999,0,-4.199999999,0.003662109,-4.199999999,-0.001831055,-4.199999999,0.000915527,-4.199999999,-0.000610352,-4.199999999,0.003051758,-4.199999999,0.002441406,-4.199999999,-0.00347327,-3.199999999,0.01266722
29,-4.099999999,0.001220703,-4.099999999,0.003662109,-4.099999999,0.002746582,-4.099999999,-0.000610352,-4.099999999,0.003356934,-4.099999999,0.003356934,-4.099999999,0.001220703,-4.099999999,0.005187988,-4.099999999,0,-4.099999999,0.002441406,-4.099999999,0.000915527,-4.099999999,0.004272461,-4.099999999,0.002136231,-4.099999999,0.0040862,-3.1,0.020584231
30,-3.999999999,0.000610352,-3.999999999,0.002441406,-3.999999999,0.000915527,-3.999999999,0.000610352,-3.999999999,0.001831055,-3.999999999,0.002136231,-3.999999999,-0.000915527,-3.999999999,0.002441406,-3.999999999,-0.002746582,-3.999999999,0.002136231,-3.999999999,-0.001525879,-3.999999999,0.002441406,-3.999999999,0.000610352,-3.999999999,0.013637693,-3,0.023393495
31,-3.899999999,0.001831055,-3.899999999,0.002136231,-3.899999999,0.001525879,-3.899999999,-0.000305176,-3.899999999,0.000915527,-3.899999999,0.002136231,-3.899999999,-0.000610352,-3.899999999,0.002746582,-3.899999999,-0.001831055,-3.899999999,0.000915527,-3.899999999,-0.001220703,-3.899999999,0.003051758,-3.899999999,0.000915527,-3.899999999,0.012999224,-2.9,0.032153286
32,-3.799999999,0.001220703,-3.799999999,0.003967285,-3.799999999,0.001525879,-3.799999999,0.002136231,-3.799999999,0.001220703,-3.799999999,0.003967285,-3.799999999,-0.000915527,-3.799999999,0.003051758,-3.799999999,-0.001831055,-3.799999999,0.002441406,-3.799999999,-0.000610352,-3.799999999,0.002136231,-3.799999999,0.001220703,-3.799999999,0.020673618,-2.799999999,0.033379145
33,-3.699999999,0.000305176,-3.699999999,0.001831055,-3.699999999,0.000305176,-3.699999999,-0.002136231,-3.699999999,0.001525879,-3.699999999,0.002441406,-3.699999999,-0.001220703,-3.699999999,0.001525879,-3.699999999,-0.002746582,-3.699999999,0.000915527,-3.699999999,-0.001831055,-3.699999999,0.002136231,-3.699999999,0.000305176,-3.699999999,0.015157248,-2.7,0.033187605
34,-3.6,0.001525879,-3.6,0.003967285,-3.6,0.002136231,-3.6,0.000915527,-3.6,0.002746582,-3.6,0.003356934,-3.6,0.000610352,-3.6,0.003356934,-3.6,-0.000305176,-3.6,0.003051758,-3.6,0.000610352,-3.6,0.003662109,-3.6,0.001220703,-3.6,0.008223478,-2.599999999,0.03288114
35,-3.5,0.001525879,-3.5,0.002441406,-3.5,0.001220703,-3.5,-0.002746582,-3.5,0.001831055,-3.5,0.003662109,-3.5,-0.000305176,-3.5,0.003356934,-3.5,-0.002136231,-3.5,0.002441406,-3.5,0,-3.5,0.003051758,-3.5,0.000915527,-3.5,0.003715888,-2.5,0.027671235
